"Sample ID","Sentence ID","Tree","Parsed","Valid","Sentence"
7,0,0,0,0,"take coffee pot pour into the mug"
8,1,0,0,0,"place all of the couches on one side of the wall , preferably facing the television"
21,0,0,0,0,"open the fridge and get the boiled egg and put it on plate 2"
21,1,0,0,0,"open the fridge and get the canada dry and put it next to plate 2"
61,5,0,0,0,"music can play from there"
66,0,0,0,0,"put cs to game box"
66,1,0,0,0,"bring is bag of chips and the coke"
80,3,0,0,0,"pour ramen ino the bowl"
81,0,0,0,0,"get the water pour into bowl"
81,3,0,0,0,"pour ramen ino the bowl"
95,3,0,0,0,"turn the television and move to the desired channel to watch the movie"
101,1,0,0,0,"put my xbox and xbox controller on the table in front of the coach"
104,0,0,0,0,"turn off the tv and the xbox if applicable"
111,1,0,0,0,"put both xbox and xbox controller onto the table in front of the coaches"
118,4,0,0,0,"put the pillow on the coach"
126,1,0,0,0,"put pillows onto the coaches"
130,1,0,0,0,"put xbox and its controller on the table in front of the coaches"
130,3,0,0,0,"put drinks and food on the middle of the table in front of coaches"
130,4,0,0,0,"put pillows onto the coaches , one for each"
135,0,0,0,0,"put books on the table in front of the coaches"
138,3,0,0,0,"put drinks and food on the middle of the table in front of coaches"
138,4,0,0,0,"put pillows onto the coaches , one for each"
138,5,0,0,0,"arrange the coaches around the table"
148,3,0,0,0,"put drinks and food on the middle of the table in front of coaches"
148,4,0,0,0,"put pillows onto the coaches , one for each"
148,5,0,0,0,"arrange coaches around the big table"
154,1,0,0,0,"put xbox and its controller on the table in front of the coaches"
154,3,0,0,0,"put drinks and food on the middle of the table in front of coaches"
154,4,0,0,0,"arrange coaches around the big table"
154,5,0,0,0,"put pillows onto the coaches , one for each"
156,1,0,0,0,"put xbox and its controller on the table in front of the coaches"
156,3,0,0,0,"put drinks and food on the middle of the table in front of coaches"
156,4,0,0,0,"put pillows onto the coaches , one for each"
325,0,0,0,0,"-cake-egg-milk-serve"
326,0,0,0,0,"-drink-food-books-paper"
327,0,0,0,0,"-drink-food-books-paper"
328,0,0,0,0,"-movie-popcorn-drinks"
329,0,0,0,0,"-food-drinks-movie"
330,0,0,0,0,"-take coffee-ice cream-milk-syrup"
331,0,0,0,0,"-arrange things-trash waste"
344,4,0,0,0,"put the trash bag in the trash pin"
357,0,0,0,0,"stare at the empty dished"
370,0,0,0,0,"grasp plate 1 and plate 2"
379,0,0,0,0,"grasp plate 1 and plate 2 and place in sink"
384,3,0,0,0,"grasp the bear and the chips to the table in front of the couch"
391,1,0,0,0,"fulfill it with water and then put it in the microwave oven until the temporature get 100 degree"
401,1,0,0,0,"mix the together and pour it in a empty cup"
410,1,0,0,0,"and remember to take care of the bear bottle and coke can"
411,0,0,0,0,"there is music cd on the shelf"
411,1,0,0,0,"drink some bear or coke if you want"
411,2,0,0,0,"and remember to take care of the trash though"
412,0,0,0,0,"let's play video game"
412,1,0,0,0,"you can find xbox right next to tv"
412,3,0,0,0,"there is also coke and bear to drink and some potato chips"
413,1,0,0,0,"you can get water by using the tab"
414,0,0,0,0,"can not boil water in this scenario"
415,0,0,0,0,"let us play video game"
415,2,0,0,0,"we can have bear or coke while playing"
416,0,0,0,0,"can not find drink in this scenario"
417,0,0,0,0,"no music cd found"
418,0,0,0,0,"put the chip bag , cock and bear into the garbage bin"
420,1,0,0,0,"xbox is right in front of the tv so there is no need to change its place"
420,2,0,0,0,"food is already served on the table"
420,3,0,0,0,"no need to arrange couch"
424,2,0,0,0,"all the cups and glass should be near to the kettle"
428,1,0,0,0,"| put potato chips near coke"
428,2,0,0,0,"| take trash bag outside of the room"
429,1,0,0,0,"| put bear near coke"
429,2,0,0,0,"| take trash bag outside of the room"
434,1,0,0,0,"make pankcakes"
434,2,0,0,0,"i'll take a plate"
442,0,0,0,0,"what i can do for you?"
449,0,0,0,0,"j want to play tennis on pc"
456,0,0,0,0,"i am hungry  , i will make some breakfast"
456,1,0,0,0,"do you also want something?"
456,4,0,0,0,"what about cereals?"
456,5,0,0,0,"would you like to eat on the table or on the couch?"
474,0,0,0,0,"get a put"
484,1,0,0,0,"popcorn is preferred when watching movies"
520,0,0,0,0,"first , you have to fill the kettle with water"
520,1,0,0,0,"then , you put the kettle in the microwave and turn it on"
521,0,0,0,0,"first you have to pick up all the dishes and put them in the sink"
521,3,0,0,0,"then , you have to collect the silverware and put it next to the dishes"
543,2,0,0,0,"carry items to sink and press e to put down the item in your right hand"
543,5,0,0,0,"walk to the corner of the room to the right of the sink and double-click on plate on the floor"
543,6,0,0,0,"take item to sink and press e to put down"
586,0,0,0,0,"put ice cream in the fridge - put away fork and spoon - put away salt - put away vanilla syrup"
592,4,0,0,0,"place controller on table ,"
611,1,0,0,0,"take a tea bag and left for 3 min and serve"
614,0,0,0,0,"turn off tv and put book 2 over the table"
618,0,0,0,0,"clean dishes and pick-up things from counter"
631,1,0,0,0,"goto fridge"
631,4,0,0,0,"goto stove"
633,1,0,0,0,"pick up remote 1"
633,2,0,0,0,"pick up controller 1"
