"Sample ID","Sentence ID","Tree","Parsed","Valid","Sentence"
6,1,0,0,1,"take the mug from the microwave and pour its contents into the sink and then place it in the sink"
8,5,0,0,,"turn on the television to channel 3 and increase the volume to 50"
17,3,0,0,,"put the pillows on the couch turn the tv on and put the xbox controller on the table"
18,2,0,0,1,"plug in the xbox to the television and activate all game controllers"
18,6,0,0,,"put the garbage bag inside the garbage bin and place the bin near the two seater couch"
22,4,0,0,,"put the cup and bowl next to each other , along with a spoon"
23,1,0,0,,"grab spoon and use it to put ice cream in coffee mug"
27,2,0,0,,"use the ice cream scoop to add ice cream to the bowl twice"
27,4,0,0,,"get the syrup and squirt two tablespoons on top"
29,0,0,0,,"put the xbox in front of the tv and hook up the wires and plug it into an outlet"
29,2,0,0,,"change the input of the tv to display the xbox"
31,4,0,0,1,"empty the contents of the mug into the sink and clean the sink with the running water"
31,5,0,0,,"place the instant ramen , ramen , and salt bottle into their designated pantries"
34,0,0,0,,"put the pot in the sink and fill it up three quarters of the way with water"
36,1,0,0,,"put the pot on the stove and turn the heat of the appropriate burner on medium"
36,4,0,0,,"after a few minutes pour the contents of the pot into a bowl"
43,3,0,0,,"arrange couches in organized position"
46,1,0,0,1,"empty the contents of the glass and mug into the sink and rinse the dishes"
46,5,0,0,,"place the instant ramen to its designated pantry"
47,0,0,0,,"open the cup of instant ramen halfway and fill it up with water from the sink"
47,1,0,0,,"flatten the cover and put the instant ramen into the microwave and cook it for the specified time on the cup"
48,0,0,0,,"put coffee in cup open the freezer and put ice cream in it then add chocolate syrup"
49,0,0,0,,"put all the school books on the table turn off the tv and get chips and soda on the table"
52,1,0,0,1,"take the mug from the microwave and empty its contents into the sink and put it in the sink"
53,0,0,0,,"place all the school books on the table turn off the tv and put chips and soda on the table"
55,1,0,0,,"if it is not disposable and on the floor , put it on the table nearest any items associated with it"
55,2,0,0,,"if a not disposable item contains only disposable objects , dump them into the trash bag , and treat the object like it was on the floor"
56,0,0,0,,"put the cd's next to the tv , trash any open food and place all the controllers and remotes on the table and pick up the pillows"
57,2,0,0,1,"bring the other chairs around the table in front of the couch"
59,0,0,0,,"put all the cd's on the table get chips and soda and make sure the pillows are on the couch"
60,0,0,0,,"take coffee from the container pour it into mug"
61,2,0,0,,"place all couches on the side of one wall"
61,4,0,0,,"put one of the cd's into the xbox console and place the xbox console near the television and turn on the power"
62,0,0,0,1,"put all cds and games next to the xbox"
62,1,0,0,,"make sure the xbox is next to the tv"
69,2,0,0,,"open the disk tray of the xbox and insert the dvd after removing it from its case"
69,7,0,0,,"take the pillows and divide them evenly among the chairs"
70,0,0,0,,"put the used dishes and cups in the sink and place all the items neatly on the counter"
71,1,0,0,,"hold the trash bag in one hand and place the plate inside the bag"
71,3,0,0,,"arrange the couches in the correct locations in the living room"
73,0,0,0,,"fill the pot with water in the sink the boil it on the stove"
77,2,0,0,,"wait for the water in the pot to boil open the ramen packet and dump contents into boiling water"
77,3,0,0,,"read the instructions and prepare accordingly"
78,1,0,0,1,"make some eggs on the stove and then put them on a plate and serve the eggs and coffee to me"
79,0,0,0,,"get the water pour into bowl"
80,0,0,0,,"get the water pour into bowl"
82,2,0,0,,"put the couches in their correct locations"
83,0,0,0,,"take the pot to the stove and fill it up half way with water"
83,2,0,0,,"open the cup of ramen and wait for the water to boil"
83,3,0,0,,"when the water is boiling , pour the cup of ramen's contents into the pot"
83,4,0,0,,"turn the stove off when it is done cooking"
84,6,0,0,1,"place the bag next to the bowl"
84,7,0,0,,"remove anything from the table that does not contain food"
84,9,0,0,,"rotate the couches so that the backs face directly away from the tv"
86,0,0,0,1,"gather all cups , plates , mugs , and utensils and put them in the sink one at a time"
87,0,0,0,1,"place ramen and instant ramen into pot and cook on top of the stove"
91,0,0,0,1,"prepare the coffee using hot water"
91,1,0,0,1,"place two scoops of ice cream into the mug"
92,2,0,0,1,"using an ice cream scoop , add ice cream to the bowl twice"
92,5,0,0,1,"add two squirts of the bottle to the bowl"
94,0,0,0,1,"gather all the cups , plates , mugs , pots , and utensils and put them in the sink one at a time"
96,1,0,0,1,"empty the contents of the bowl into the garbage bag"
97,2,0,0,1,"add the ramen to the water after ten minutes"
97,3,0,0,1,"after the ramen is added , wait a few more minutes and then pour the contents of the pot slowly into a bowl"
99,0,0,0,1,"place pot on top of the stove and turn the stove on"
99,1,0,0,,"wait for the water to boil"
99,2,0,0,1,"get the ramen and empty contents into hot water into the pot"
100,1,0,0,1,"bring books to the table in front of the couches"
100,2,0,0,1,"empty the bag of chips into the bowl and bring the bowl to the table in front of the couch"
106,0,0,0,,"move the couches on one side of the wall"
106,1,0,0,,"place the table and desk against another side of the wall"
106,2,0,0,,"pick up anything from the floor and place it to its designated location"
107,0,0,0,,"take mug out the microwave and place two scoops of ice cream into the mug"
110,6,0,0,1,"open the chips , and pour them into the bowl until is is full"
110,8,0,0,,"take all pillows and divide them evenly among the chairs"
112,0,0,0,,"throw away the open bag of chips"
112,2,0,0,,"put the far cry game cd back into its case"
112,4,0,0,1,"place the xbox controller next to the console"
112,6,0,0,,"pick up the book next to the television and put it back on the desk"
113,5,0,0,,"change the tv channel until a dance music themed station is found"
